signal_timestamp,token_name_x,contract_address,total_wallets_involved,wallets_details,signal_id,initial_ath_usd,final_ath_usd,profit_multiplier,performance_status,evaluation_complete,token_name_y,token_symbol
2025-07-13 00:05:42+00:00,LLPF,8DwVuY3p9TqaLSY3GsaZiyP1KL2pySxFWG7YZwwLa3PQ,2,"[{'type': 'KOL', 'id': 2, 'mc_at_buy': 19000.0}, {'type': 'KOL', 'id': 6, 'mc_at_buy': 10400.0}]",0,31400.0,31400.0,1.0,FAILURE,True,long live pump fun,$LLPF
2025-07-13 00:11:57+00:00,SOLHOUSE,2JQoTPfhmdVtTMBGqCoxZiKygZDxeYr2aDiFj64Ebonk,2,"[{'type': 'KOL', 'id': 2, 'mc_at_buy': 23980.0}, {'type': 'New Wallet', 'id': 17, 'mc_at_buy': 20220.0}]",1,24900.0,24900.0,1.0,FAILURE,True,Solana House,"<a href="""" onclick='return ShowCashtag(""SOLHOUSE"""
2025-07-13 00:14:02+00:00,мем,EVvVFQrJWSPa7pgHfVWHBagpdUsXafFXMvyizQureXQm,2,"[{'type': 'New Wallet', 'id': 17, 'mc_at_buy': 12590.0}, {'type': 'New Wallet', 'id': 124, 'mc_at_buy': 7360.0}]",2,14300.0,14300.0,1.0,FAILURE,True,мемкоин,МЕМ
2025-07-13 00:15:58+00:00,WIDEPUTIN,7YDVRKe8S5JowDoTui3ZPf6bUmdZeQf4Bc29yM8Bbonk,2,"[{'type': 'New Wallet', 'id': 66, 'mc_at_buy': 26580.0}, {'type': 'New Wallet', 'id': 95, 'mc_at_buy': 14950.0}]",3,30300.0,30300.0,1.0,FAILURE,True,wide putin,WIDEPUTIN
2025-07-13 00:18:04+00:00,Vlad,6V5WHncynWJPupCcwgwFK52AyPN1CcbSe7sWGnHwbonk,2,"[{'type': 'New Wallet', 'id': 82, 'mc_at_buy': 18780.0}, {'type': 'New Wallet', 'id': 16, 'mc_at_buy': 17290.0}]",4,26700.0,28300.0,1.0599250936329587,SUCCESS,True,Влад,"<a href="""" onclick='return ShowCashtag(""VLAD"""
2025-07-13 00:22:33+00:00,Йоба,EiDnnig4s4cf1MJVbaYi2zWqESMp96unGAwfemZTbonk,2,"[{'type': 'KOL', 'id': 46, 'mc_at_buy': 25440.0}, {'type': 'KOL', 'id': 2, 'mc_at_buy': 17310.0}]",5,38200.0,68800.0,1.801047120418848,SUCCESS,True,YOBA,ЙОБА
2025-07-13 00:25:15+00:00,cyka blyat,EM2ivKTcg6YXzqr8D8AtAVfAwAbPYVjj92SMuFKbonk,2,"[{'type': 'New Wallet', 'id': 13, 'mc_at_buy': 12730.0}, {'type': 'New Wallet', 'id': 124, 'mc_at_buy': 5800.0}]",6,18300.0,63300.0,3.459016393442623,SUCCESS,True,сука блять,"<a href="""" onclick='return ShowCashtag(""CYKA"""
2025-07-13 00:28:56+00:00,GENA,CXp9ULFFGFUaZrFjgAJLmLgcrikdq5odGaNoEi77bonk,5,"[{'type': 'New Wallet', 'id': 124, 'mc_at_buy': 21770.0}, {'type': 'New Wallet', 'id': 26, 'mc_at_buy': 65410.0}, {'type': 'KOL', 'id': 2, 'mc_at_buy': 55000.0}, {'type': 'New Wallet', 'id': 17, 'mc_at_buy': 35660.0}, {'type': 'KOL', 'id': 3, 'mc_at_buy': 25040.0}]",7,106900.0,106900.0,1.0,FAILURE,True,Крокодил Гена,"<a href="""" onclick='return ShowCashtag(""GENA"""
2025-07-13 00:31:02+00:00,STARE,5yybwL6zsESNT3YxJfrmWB5wupVCuBm1m9G6T1WWQ2S9,2,"[{'type': 'New Wallet', 'id': 38, 'mc_at_buy': 12440.0}, {'type': 'New Wallet', 'id': 13, 'mc_at_buy': 12130.0}]",8,16200.0,17700.0,1.0925925925925926,SUCCESS,True,gen z stare,"<a href="""" onclick='return ShowCashtag(""STARE"""
2025-07-13 00:33:33+00:00,ourcoin,A1qGfYAemBGVAAXXfLCG3bJYpVvNKdPpo6B4Mahhbonk,2,"[{'type': 'New Wallet', 'id': 16, 'mc_at_buy': 33320.0}, {'type': 'New Wallet', 'id': 26, 'mc_at_buy': 14210.0}]",9,39700.0,132600.0,3.3400503778337534,SUCCESS,True,ourcoin,"<a href="""" onclick='return ShowCashtag(""OURCOIN"""
